Type,ID,Transaction,Template:Compound_info
Customer,2921100346289152341,NA_01/11/96-3:5_buyGiftCard_738.60,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Beau_Bell_Bell4rBeau74@hotmail.com_35642_3127752183_267332251_6912-Lake Rd-Hillcrest
Customer,2921100346289152341,NA_09/11/74-15:56_billPay_92998_842.19,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Beau_Bell_Bell4rBeau74@hotmail.com_35642_3127752183_267332251_6912-Lake Rd-Hillcrest
Customer,68521517782146610,47.62557162302721149.6877811909912_10/15/47-12:16_send_4127276644368899618_493.70,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Delphine_Russell_Delphine87.Russell@yahoo.com_15830_6177293001_847672280_2301-Main Ave-Fairview
Counter-Party,4127276644368899618,47.62557162302721149.6877811909912_10/15/47-12:16_receive_68521517782146610_493.70,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Orla_Baker_Orla.ojBaker@aol.com_11665_4159299891_175078954_1624-Elm Ln-Greenville
Customer,4127276644368899618,47.62557162302721149.6877811909912_10/15/47-12:16_receive_68521517782146610_493.70,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Orla_Baker_Orla.ojBaker@aol.com_11665_4159299891_175078954_1624-Elm Ln-Greenville
Counter-Party,68521517782146610,47.62557162302721149.6877811909912_10/15/47-12:16_send_4127276644368899618_493.70,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Delphine_Russell_Delphine87.Russell@yahoo.com_15830_6177293001_847672280_2301-Main Ave-Fairview
Customer,68521517782146610,NA_02/28/51-16:29_send_975804095708637248_493.67,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Delphine_Russell_Delphine87.Russell@yahoo.com_15830_6177293001_847672280_2301-Main Ave-Fairview
Counter-Party,975804095708637248,NA_02/28/51-16:29_receive_68521517782146610_493.67,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Anneliese_King_Anneliese15.King@walmart.com_62953_9093332037_312705476_2268-Main Blvd-Ashland
Customer,975804095708637248,NA_02/28/51-16:29_receive_68521517782146610_493.67,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Anneliese_King_Anneliese15.King@walmart.com_62953_9093332037_312705476_2268-Main Blvd-Ashland
Counter-Party,68521517782146610,NA_02/28/51-16:29_send_975804095708637248_493.67,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Delphine_Russell_Delphine87.Russell@yahoo.com_15830_6177293001_847672280_2301-Main Ave-Fairview
Customer,68521517782146610,-45.860024575715158.76982732912893_08/03/79-6:18_send_435045665503231849_885.68,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Delphine_Russell_Delphine87.Russell@yahoo.com_15830_6177293001_847672280_2301-Main Ave-Fairview
Counter-Party,435045665503231849,-45.860024575715158.76982732912893_08/03/79-6:18_receive_68521517782146610_885.68,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Cedric_Jenkins_Jenkins.Cedric@aol.com_78636_3123705889_438028106_672-Walnut Rd-Centerville
Customer,435045665503231849,-45.860024575715158.76982732912893_08/03/79-6:18_receive_68521517782146610_885.68,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Cedric_Jenkins_Jenkins.Cedric@aol.com_78636_3123705889_438028106_672-Walnut Rd-Centerville
Counter-Party,68521517782146610,-45.860024575715158.76982732912893_08/03/79-6:18_send_435045665503231849_885.68,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Delphine_Russell_Delphine87.Russell@yahoo.com_15830_6177293001_847672280_2301-Main Ave-Fairview
Customer,3442507676294002285,NA_03/10/55-2:40_billPay_19203_254.76,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Arlo_Carter_Arlo1tCarter5@hotmail.com_92222_7182492762_726835826_5461-Cedar Dr-Rosewood
Customer,167801228851180003,NA_10/27/13-17:6_send_829649322874772577_89.31,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Mercer_Ramirez_Ramirez.a3Mercer@aol.com_21312_2128981125_590508060_7799-Main Ln-Franklin
Counter-Party,829649322874772577,NA_10/27/13-17:6_receive_167801228851180003_89.31,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Huck_Russell_Russell.qlHuck@edu.university.com_14103_7187876334_346996634_9275-Pine St-Newport
Customer,829649322874772577,NA_10/27/13-17:6_receive_167801228851180003_89.31,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Huck_Russell_Russell.qlHuck@edu.university.com_14103_7187876334_346996634_9275-Pine St-Newport
Counter-Party,167801228851180003,NA_10/27/13-17:6_send_829649322874772577_89.31,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Mercer_Ramirez_Ramirez.a3Mercer@aol.com_21312_2128981125_590508060_7799-Main Ln-Franklin
Customer,167801228851180003,31.229940184133383-78.62614359604976_01/01/56-22:26_billPay_89088_581.07,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Mercer_Ramirez_Ramirez.a3Mercer@aol.com_21312_2128981125_590508060_7799-Main Ln-Franklin
Customer,1940957204923966503,-68.97247940514397163.08609518779855_07/14/38-24:36_billPay_25321_941.83,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Phoenix_Hughes_Hughes68Phoenix86@edu.university.com_21312_2126282311_370455352_9629-Main Rd-Jackson
Customer,1940957204923966503,NA_08/26/92-16:21_billPay_90383_822.36,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Phoenix_Hughes_Hughes68Phoenix86@edu.university.com_21312_2126282311_370455352_9629-Main Rd-Jackson
Customer,1940957204923966503,NA_02/28/50-4:30_billPay_35353_864.19,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Phoenix_Hughes_Hughes68Phoenix86@edu.university.com_21312_2126282311_370455352_9629-Main Rd-Jackson
Customer,1940957204923966503,NA_11/03/52-4:18_buyGiftCard_891.94,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Phoenix_Hughes_Hughes68Phoenix86@edu.university.com_21312_2126282311_370455352_9629-Main Rd-Jackson
Customer,1558585973342810992,10.88172765747938829.210607737732744_05/03/39-10:21_buyGiftCard_440.45,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Adeline_Cook_Cook62.Adeline@walmart.com_24958_4155741725_359868710_3670-Cedar Ave-Brookside
Customer,1558585973342810992,NA_06/19/00-1:34_buyGiftCard_309.99,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Adeline_Cook_Cook62.Adeline@walmart.com_24958_4155741725_359868710_3670-Cedar Ave-Brookside
Customer,1558585973342810992,50.77351099825816-138.84393098260227_10/01/52-22:23_send_2199810083306791622_975.38,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Adeline_Cook_Cook62.Adeline@walmart.com_24958_4155741725_359868710_3670-Cedar Ave-Brookside
Counter-Party,2199810083306791622,50.77351099825816-138.84393098260227_10/01/52-22:23_receive_1558585973342810992_975.38,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Liana_Mitchell_Mitchell07Liana61@hotmail.com_66383_8054291807_611491212_4276-Walnut Ln-Centerville
Customer,2199810083306791622,50.77351099825816-138.84393098260227_10/01/52-22:23_receive_1558585973342810992_975.38,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Liana_Mitchell_Mitchell07Liana61@hotmail.com_66383_8054291807_611491212_4276-Walnut Ln-Centerville
Counter-Party,1558585973342810992,50.77351099825816-138.84393098260227_10/01/52-22:23_send_2199810083306791622_975.38,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Adeline_Cook_Cook62.Adeline@walmart.com_24958_4155741725_359868710_3670-Cedar Ave-Brookside
Customer,1558585973342810992,NA_06/03/60-7:6_buyGiftCard_636.73,FirstName_LastName_Email_Zipcode_PhoneNumber_DriversLicense_Address:Adeline_Cook_Cook62.Adeline@walmart.com_24958_4155741725_359868710_3670-Cedar Ave-Brookside
